Fecha|Valor
2016-10-14 00:00:00|3.9381944444452985
2016-10-15 00:00:00|5.813541666666895
2016-10-16 00:00:00|4.328125000000448
2016-10-17 00:00:00|3.189930555552699
2016-10-18 00:00:00|3.7423611111085946
2016-11-04 00:00:00|4.280902777772682
2016-11-05 00:00:00|6.381944444444087
2016-11-06 00:00:00|3.630902777779106
2016-11-07 00:00:00|2.0819444444433337
2016-11-08 00:00:00|2.8989583333315188
2016-11-09 00:00:00|3.1493055555559017
2016-11-10 00:00:00|3.487499999992704
2016-11-11 00:00:00|4.714236111110462
2016-11-12 00:00:00|4.810069444441206
2016-11-13 00:00:00|4.539583333336205
2016-11-14 00:00:00|4.245833333332711
2016-11-15 00:00:00|6.539930555554994
2016-11-16 00:00:00|4.24444444444246
2016-11-17 00:00:00|3.906250000002245
2016-11-18 00:00:00|2.3159722222200707
2016-11-19 00:00:00|3.0447916666635932
2016-11-20 00:00:00|5.324652777776562
2016-11-21 00:00:00|3.7975694444424932
2016-11-22 00:00:00|3.199652777778568
2016-11-23 00:00:00|3.294791666666998
2016-11-24 00:00:00|3.2635416666659878
2016-11-25 00:00:00|3.4763888888904915
2016-11-26 00:00:00|2.2465277777784585
2016-11-27 00:00:00|1.998611111110145
2016-11-28 00:00:00|1.9638888888880561
2016-11-29 00:00:00|3.038888888885915
2016-11-30 00:00:00|3.231944444446025
2016-12-01 00:00:00|2.3222222222238105
2016-12-02 00:00:00|1.5854166666673635
2016-12-03 00:00:00|2.983333333332195
2016-12-04 00:00:00|3.5875000000017407
2016-12-05 00:00:00|2.936884057970868
2016-12-06 00:00:00|3.579166666665369
2016-12-07 00:00:00|3.572916666667436
2016-12-08 00:00:00|3.1965277777782077
2016-12-09 00:00:00|3.7930555555509566
2016-12-10 00:00:00|3.3274305555562047
2016-12-11 00:00:00|3.5621527777789104
2016-12-12 00:00:00|4.303472222223798
2016-12-13 00:00:00|3.0159722222225973
2016-12-14 00:00:00|3.170486111111935
2016-12-15 00:00:00|3.3958333333326727
2016-12-16 00:00:00|2.9399305555539232
2016-12-17 00:00:00|3.315625000001214
2016-12-18 00:00:00|3.4256944444434034
2016-12-19 00:00:00|3.7899305555565665
2016-12-20 00:00:00|2.7793402777761624
2016-12-21 00:00:00|3.316212121211584
2016-12-22 00:00:00|3.0815972222241688
2016-12-23 00:00:00|2.3736111111107623
2016-12-24 00:00:00|3.301388888888206
2016-12-25 00:00:00|3.24583333333302
2016-12-26 00:00:00|3.2218749999994176
2016-12-27 00:00:00|3.388541666667059
2016-12-28 00:00:00|3.3815972222237636
2016-12-29 00:00:00|3.738541666666779
2016-12-30 00:00:00|2.9506944444432106
2016-12-31 00:00:00|4.019097222222119
2017-01-01 00:00:00|4.35104166666745
2017-01-02 00:00:00|3.5673611111107455
2017-01-03 00:00:00|3.3059027777770615
2017-01-04 00:00:00|2.208333333335079
2017-01-05 00:00:00|2.8739583333325025
2017-01-06 00:00:00|3.6895833333329935
2017-01-07 00:00:00|4.020138888890581
2017-01-08 00:00:00|3.255208333333484
2017-01-09 00:00:00|3.627083333330471
2017-01-10 00:00:00|4.257291666669289
2017-01-11 00:00:00|1.9750000000000094
2017-01-12 00:00:00|2.762152777778313
2017-01-13 00:00:00|2.280902777777457
2017-01-14 00:00:00|2.144444444444448
2017-01-15 00:00:00|3.079513888888084
2017-01-16 00:00:00|3.200347222223554
2017-01-17 00:00:00|3.062152777776818
2017-01-18 00:00:00|1.7333333333326002
2017-01-19 00:00:00|3.121180555552079
2017-01-20 00:00:00|4.506944444441916
2017-01-21 00:00:00|5.639236111109276
2017-01-22 00:00:00|4.964930555556325
2017-01-23 00:00:00|3.39131944444429
2017-01-24 00:00:00|2.9315972222211495
2017-01-25 00:00:00|4.094444444443859
2017-01-26 00:00:00|4.552777777779045
2017-01-27 00:00:00|3.538888888889088
2017-01-28 00:00:00|4.036111111112223
2017-01-29 00:00:00|5.634722222222031
2017-01-30 00:00:00|3.835069444445623
2017-01-31 00:00:00|3.755902777777958
2017-02-01 00:00:00|3.1399305555549843
2017-02-02 00:00:00|3.0357638888871556
2017-02-03 00:00:00|4.62152777777842
2017-02-04 00:00:00|3.6135416666653706
2017-02-05 00:00:00|5.198263888887556
2017-02-06 00:00:00|4.960069444443135
2017-02-07 00:00:00|4.323611111112161
2017-02-08 00:00:00|4.0954861111129
2017-02-09 00:00:00|3.0190972222218293
2017-02-10 00:00:00|3.018055555554882
2017-02-11 00:00:00|4.109375000002104
2017-02-12 00:00:00|3.9229166666659605
2017-02-13 00:00:00|6.437847222221061
2017-02-14 00:00:00|5.5065972222225295
2017-02-15 00:00:00|5.350694444445535
2017-02-16 00:00:00|4.591666666665432
2017-02-17 00:00:00|4.057638888889872
2017-02-18 00:00:00|3.355902777776897
2017-02-19 00:00:00|2.6024305555547964
2017-02-20 00:00:00|2.884027777774769
2017-02-21 00:00:00|3.9052083333331176
2017-02-22 00:00:00|3.6989583333322518
2017-02-23 00:00:00|2.5024305555563977
2017-02-24 00:00:00|2.2187499999998095
2017-02-25 00:00:00|3.039583333328788
2017-02-26 00:00:00|3.610763888888718
2017-02-27 00:00:00|3.426736111112068
2017-02-28 00:00:00|4.101388888888051
2017-03-01 00:00:00|3.135069444443337
2017-03-02 00:00:00|3.5454861111072478
2017-03-03 00:00:00|4.374652777778752
2017-03-04 00:00:00|3.6715277777781017
2017-03-05 00:00:00|3.206597222221825
2017-03-06 00:00:00|3.0506944444446096
2017-03-07 00:00:00|3.6784722222215898
2017-03-08 00:00:00|3.248611111109055
